	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp						
ui.dialog.event_xio_raid_2	<color=#FFFEC1>Boss</color>, quasimorphs have come out either to have some fun or to gather gavvakh. Squads of Feathered Masks loyal to <color=#FFFEC1>Xiomara</color> are scattered across the level, engrossed in the slaughter. Be careful, or they'll gather our gavvakh too.	<color=#FFFEC1>Босс</color>, квазиморфы вышли то ли поразвлекаться, то ли гавваха подсобрать. Отряды пернатых масок, верных <color=#FFFEC1>Ксиомаре</color> разбросаны по уровню, увлеченные бойней. Осторожнее, а то они и с нас гаввах соберут.	<color=#FFFEC1>Boss</color>, die Quasimorphe sind aufgetaucht, entweder um Spaß zu haben oder um Gavvakh zu sammeln. Trupps Gefiederter Masken, die <color=#FFFEC1>Xiomara</color> treu ergeben sind, sind über die ganze Ebene verstreut und ins Gemetzel vertieft. Pass auf, sonst sammeln sie auch noch unser Gavvakh.	<color=#FFFEC1>Boss</color>, les quasimorphes sont sortis soit pour s'amuser, soit pour rassembler du gavvakh. Les escouades de Masques à Plumes de <color=#FFFEC1>Xiomara</color> sont dispersées à travers le niveau, absorbées par le massacre. Fais attention, sinon ils rassembleront aussi notre gavvakh.	<color=#FFFEC1>Dirigente</color>, los cuasimorfos han salido ya sea para divertirse un rato o para recolectar gavvakh. Hay escuadrones de Máscaras Emplumadas leales a <color=#FFFEC1>Xiomara</color> esparcidos por el nivel, absortos en la matanza. Ten cuidado, o también recolectarán nuestro gavvakh.	<color=#FFFEC1>Szefie</color>, kwazimorfy wyszły albo dla zabawy, albo by zebrać gavvakh. Oddziały Pierzastych Masek <color=#FFFEC1>Xiomary</color> są rozrzucone po poziomie, pochłonięte rzezią. Bądź ostrożny, bo zaczną zbierać również nasz gavvakh.	<color=#FFFEC1>Lider</color>, kvasimorflar eğlenmek için ya da gavvakh toplamak için çıkmış olabilir. <color=#FFFEC1>Xiomara</color>'nın Tüylü Maskeleri takımları seviye boyunca dağılmış, katliama kaptırmış durumda. Dikkatli ol, yoksa gavvakh'ımızı da toplarlar.	<color=#FFFEC1>Chefe</color>, os quasimorfos saíram para se divertir ou para reunir gavvakh. Esquadrões de Mascarados Plumados da <color=#FFFEC1>Xiomara</color> estão espalhados pelo nível, absortos no massacre. Cuidado, ou eles também irão reunir nossos gavvakh.	<color=#FFFEC1>보스</color>, 준형성들이 재미를 보거나 가브바흐를 모으려고 나타났습니다. <color=#FFFEC1>샤오마라</color>에게 충성하는 깃털 가면 분대들이 살육에 몰두한 채 층 곳곳에 흩어져 있습니다. 조심하십시오. 우리 가브바흐까지 수확하려 들 수 있습니다.	<color=#FFFEC1>ボス</color>エリアには、クアージモーフたちが集まってくるか、遊びに出かけるために出てきました。 <color=#FFFEC1>ショーマラ</color>の羽根のマスク部隊が、レベル全体に散らばり、大虐殺に夢中です。 気をつけて、彼らも私たちのガグバフを集めるかもしれません。	<color=#FFFEC1>老板</color>，异变体跑出来了，要么是来找乐子，要么是来收割加瓦克。忠于<color=#FFFEC1>希奥玛拉</color>的羽面骑士团散布在这一层各处，正专注地大屠杀。小心点，不然他们也会把我们的加瓦克一并收走。						
ui.dialog.event_XiomaraMasks_gift_1	You didn't bow to <color=#FFFEC1>Tezctlan</color>, mercenary. We saw how you moved in the dance through the net of lies without losing the rhythm. Accept our gift. A <color=#FFFEC1>sign of fellowship</color> in resistance. Remember, even in the scorched cage of the dense world, music can be heard. When Tezctlan falls, we will remember who danced with us first.	Ты не поклонился <color=#FFFEC1>Тецктлану</color>, наемник. Мы видели, как ты двигался в танце сквозь сеть лжи, не теряя ритма. Прими наш дар. <color=#FFFEC1>Знак соучастия</color> в сопротивлении. Помни, что даже в выжженной клетке плотного мира можно услышать музыку. Когда Тецктлан падет, мы вспомним, кто плясал вместе с нами.	Du hast dich nicht vor <color=#FFFEC1>Tezctlan</color> verneigt, Söldner. Wir haben gesehen, wie du im Tanz durch das Netz aus Lügen gegangen bist, ohne den Rhythmus zu verlieren. Akzeptiere unser Geschenk – ein <color=#FFFEC1>Zeichen der Verbundenheit</color> im Widerstand. Denk daran, dass selbst in einem verbrannten Käfig der dichten Welt Musik zu hören ist. Wenn Tezctlan fällt, werden wir uns erinnern, wer als erstes mit uns getanzt hat.	Tu n'as pas ployé le genou devant <color=#FFFEC1>Tezctlan</color>, mercenaire. Nous avons vu comment tu te déplaçais dans la danse à travers le réseau de mensonges sans perdre le rythme. Accepte notre cadeau – une <color=#FFFEC1>marque de complicité</color> dans la résistance. Souviens-toi, même dans une cage brûlée du monde dense, la musique peut être entendue. Quand Tezctlan tombera, nous nous souviendrons de qui a dansé avec nous en premier.	No te inclinaste ante <color=#FFFEC1>Tezctlan</color>, mercenario. Vimos cómo te movías con soltura por las redes de mentiras sin perder el ritmo. Acepta nuestro regalo: una <color=#FFFEC1>marca de complicidad</color> en la resistencia. Recuerda que incluso en una jaula ardiente del mundo sólido, se puede escuchar música. Cuando Tezctlan caiga, recordaremos quién bailó con nosotros primero.	Nie ukłoniłeś się przed <color=#FFFEC1>Tezctlanem</color>, najemniku. Widzieliśmy, jak poruszałeś się w tańcu poprzez sieć kłamstw, nie tracąc rytmu. Przyjmij nasz dar – <color=#FFFEC1>znak współudziału</color> w oporze. Pamiętaj, że nawet w spalonej klatce gęstego świata można usłyszeć muzykę. Gdy Tezctlan upadnie, będziemy pamiętać, kto z nami tańczył jako pierwszy.	Sen, paralı asker, <color=#FFFEC1>Tezctlan'a</color> eğilmedin. Yalanlar ağı içinde ritmi kaybetmeden hareket ettiğini gördük. Derinden dünyanın kavrulmuş kafesinde müzik duyulabilir. Tezctlan düştüğünde, bizimle ilk dans edenin kim olduğunu hatırlayacağız. Bizim tarafımızdan verilen hediye olan direnişteki, <color=#FFFEC1>ortaklık izini</color> kabul et.	Você não se curvou a <color=#FFFEC1>Tezctlan</color>, mercenário. Vimos como você se movia na dança pela rede de mentiras sem perder o ritmo. Aceite nosso presente — uma <color=#FFFEC1>marca de cumplicidade</color> na resistência. Lembre-se, mesmo em uma gaiola queimada do mundo sólido, a música pode ser ouvida. Quando Tezctlan cair, lembraremos quem dançou conosco primeiro.	용병, 너는 <color=#FFFEC1>테즈틀란</color>에게 고개를 숙이지 않았다. 우리는 네가 거짓의 그물 사이를 춤추면서도 리듬을 잃지 않는 모습을 보았다. 우리의 선물을 받아라. 저항 안에서 맺은 <color=#FFFEC1>연대의 징표</color>다. 기억하라. 빽빽한 세계의 그을린 우리 안에서도 음악은 들린다. 테즈틀란이 쓰러지면, 누가 가장 먼저 우리와 춤췄는지 기억하겠다.	傭兵よ、<color=#FFFEC1>テクトラン</color>に頭が下がらなかった。我々は、君が偽りの網を通して踊り、リズムを失うことなく進んでいたのを見た。我々の贈り物を受け取れ−レジスタンスの中での <color=#FFFEC1>連帯の印</color>。濃密な世界の焼け落ちた檻の中でも音楽が聞こえる。テクトランが倒れるとき、最初に我々と共に踊った人を覚えているだろう。	你未曾向<color=#FFFEC1>泰兹卡特兰</color>低头，佣兵。我们看见你如何在谎言之网中舞动而未失节奏。接受我们的礼物。这是抵抗中<color=#FFFEC1>同志情谊的象征</color>。请记住，即使在密集世界的灼热笼罩中，音乐也仍能被听见。当泰兹卡特兰陷落时，我们会记得谁是第一个与我们共舞的人。						
ui.dialog.event_XiomaraMasks_insult_1	You look at the masks and search for a conspiracy underneath because it makes you feel safer. I am the only one in this corner of the universe who is not deceiving you. And how did you repay me? You turned away from what I could have given you. You are afraid, and you call it free choice.	Ты смотришь на маски и ищешь под ними заговор, потому что тебе так спокойнее. Я единственная в этом уголке вселенной, кто не обманывает тебя. И чем ты мне отплатил? Отвернулся от того, что я могла тебе дать. Ты боишься и называешь это свободным выбором.	Du siehst dir die Masken an und suchst nach einer Verschwörung darunter, weil du dich dadurch sicherer fühlst. Ich bin der Einzige in dieser Ecke des Universums, der dich nicht täuscht. Und wie hast du es mir gedankt? Du hast dich von dem abgewandt, was ich dir hätte geben können. Du hast Angst, und nennst es freie Entscheidung.	Tu regardes les masques et tu cherches sous eux une conspiration, car cela te donne plus de sécurité. Je suis la seule dans ce coin de l’univers qui ne te trompe pas. Et comment m’as-tu remercié ? Tu t’es détourné de ce que j’aurais pu te donner. Tu as peur et tu appelles cela un choix libre.	Miras las máscaras y buscas una conspiración bajo ellas porque así te sientes más seguro. Soy la única persona en este rincón del universo que no te está engañando. ¿Y cómo me lo has pagado? Dándole la espalda a todo lo que podría haberte ofrecido. Tienes miedo, pero lo llamas libre elección.	Patrzysz na maski i szukasz pod nimi spisku, bo tak ci się to wydaje bezpieczniejsze. Jestem jedyną w tym kącie wszechświata, która cię nie oszukuje. A jak mi to odwdzięczyłeś? Odsunąłeś się od tego, co mogłam ci dać. Boisz się i nazywasz to wolnym wyborem.	Maskelere bakıyorsun ve altında bir komplo arıyorsun, çünkü bu seni daha güvende hissettiriyor. Bu evrenin bu köşesinde seni aldatmayan tek kişiyim. Ve bana bunu nasıl ödedin? Verebileceğim şeyden vazgeçtin. Korkuyorsun ve bunu özgür seçim diye adlandırıyorsun.	Você olha para as máscaras e procura por uma conspiração por baixo delas, porque isso te faz sentir mais seguro. Sou a única neste canto do universo que não está te enganando. E como você me retribuiu? Você se afastou daquilo que eu poderia ter te dado. Você tem medo e chama isso de livre escolha.	너는 가면을 바라보며 그 아래에서 음모를 찾는다. 그래야 마음이 편해지기 때문이지. 이 우주의 이 구석에서 너를 속이지 않는 유일한 존재가 바로 나다. 그런데 너는 내게 어떻게 보답했지? 내가 줄 수 있었던 것에서 등을 돌렸다. 너는 두려워하면서 그것을 자유로운 선택이라 부른다.	マスクを見つめて、その下に陰謀を探している。そうする方が君は安心するからだ。私はこの宇宙のこの隅で、君を欺かない唯一の存在だ。そして君は私にどう報いてくれた？ 私が君に与えられただろうものから離れた。君は恐れており、それを自由な選択だと呼ぶ。	你看着那些面具，在底下寻找阴谋，因为那样会让你觉得更安全。我是宇宙这个角落里唯一一个没有欺骗你的人。而你又是如何回报我的？你背离了我本可以给予你的一切。你心怀恐惧，却称之为自由选择。						
ui.dialog.exit_desc	Do you want to abandon your obligations under the PMC contract?	Вы хотите оставить свои обязательства и разорвать контракт ЧВК с заказчиком?	Möchtest du die Verpflichtungen deines Söldnervertrags aufkündigen?	Voulez-vous renoncer à vos obligations en vertu du contrat SMP ?	¿Deseas abandonar tus obligaciones bajo el contrato de PMC?	Czy chcesz zerwać swój kontrakt z prywatną firmą wojskową?	ÖAŞ sözleşmesinde yer alan yükümlülüklerini feshetmek istiyor musun?	Quer abandonar suas obrigações do contrato com a PMC?	PMC 계약상의 의무를 포기하시겠습니까?	PMC契約上の責務を放棄しますか？	是否放弃PMC合同下的义务？						
ui.dialog.failed_generation	Error! Failed to generate level. Please send a report via the main menu.	Ошибка! Не удалось сгенерировать уровень. Пожалуйста, отправьте репорт через главное меню игры.	Fehler! Stufengenerierung fehlgeschlagen. Sende bitte einen Bericht über das Hauptmenü.	Erreur ! Échec de la génération du niveau. Veuillez envoyer un rapport via le menu principal.	¡Error! Se ha producido un error al generar el nivel. Envía un informe a través del menú principal.	Błąd! Nie udało się wygenerować poziomu. Proszę, wyślij raport przez główne menu gry.	Hata! Seviye oluşturulamadı. Lütfen, ana menüden bir rapor gönderin.	Erro! Falha ao gerar nível. Por favor, envie um relatório através do Menu Principal.	오류! 레벨 생성에 실패했습니다. 메인 메뉴를 통해 보고서를 보내 주십시오.	エラー！レベルを生成できませんでした。メインメニューからレポートを送信してください。	错误！无法生成关卡。请通过主菜单发送报告。						
ui.dialog.failed_go_next_dungeon	Error! Failed to load level file. Error code:	Ошибка! Не удалось загрузить файл уровня. Код ошибки:	Fehler! Level-Datei konnte nicht geladen werden. Fehlercode:	Erreur ! Échec du chargement du fichier de niveau. Code d'erreur :	¡Error! Se ha producido un error al cargar el archivo del nivel. Código de error:	Błąd! Nie udało się załadować pliku poziomu. Kod błędu:	Hata! Seviye dosyası yüklenemedi. Hata kodu: Hata!	Erro! Falha ao carregar o arquivo de nível. Código de erro:	오류! 레벨 파일을 불러오지 못했습니다. 오류 코드:	エラー！レベルファイルのロードに失敗しました。エラーコード：	错误！无法加载关卡文件。错误代码：						
ui.dialog.failed_load_game	Error! Failed to load game. The game will now close to prevent potential data issues. Please restart the client to continue playing. Error code:	Ошибка! Не удалось загрузить игру. Она будет закрыта, чтобы предотвратить возможные проблемы. Пожалуйста, перезапустите, чтобы продолжить. Код ошибки:	Fehler! Das Laden des Spiels ist fehlgeschlagen. Das Spiel wird jetzt geschlossen, um mögliche Datenverluste zu verhindern. Bitte starte den Client neu, um das Spielen fortzusetzen. Fehlercode:	Erreur ! Échec du chargement du jeu. Le jeu se fermera maintenant pour éviter d'éventuels problèmes de données. Veuillez redémarrer le client pour continuer à jouer. Code d'erreur :	¡Error! Se ha producido un error al cargar la partida. Se cerrará el juego para evitar posibles problemas de datos. Reinicia el cliente para continuar jugando. Código del error:	Błąd! Nie udało się załadować gry. Gra zostanie teraz zamknięta, aby zapobiec potencjalnym problemom z danymi. Proszę ponownie uruchom klienta, aby kontynuować grę. Kod błędu:	Hata! Oyun yüklenemedi. Oyun şimdi kapanacak ve olası veri sorunlarını önlemek için. Oynamaya devam etmek için lütfen istemciyi yeniden başlatın. Hata kodu:	Erro! Falha ao carregar o jogo. O jogo será fechado agora para evitar possíveis problemas de dados. Por favor, reinicie o cliente para continuar jogando. Código de erro:	오류! 게임을 불러오지 못했습니다. 데이터 손상을 방지하기 위해 게임을 종료합니다. 계속 플레이하려면 클라이언트를 다시 시작해 주십시오. 오류 코드:	エラー！ゲームの読み込みに失敗しました。データ障害を防ぐため、ゲームを今すぐ停止します。プレイを続けるにはクライアントを再起動してください。エラーコード：	错误！无法加载游戏。游戏即将关闭，以防止潜在的数据问题。请重新启动客户端以继续游戏。错误代码：						
ui.dialog.failed_save_game_112	Error! Failed to save the game, insufficient disk space. Error code:	Ошибка! Не удалось сохранить игру, нет места на диске. Код ошибки:	Fehler! Das Spiel konnte nicht gespeichert werden, kein Speicherplatz vorhanden. Fehlercode:	Erreur ! La sauvegarde du jeu a échoué, il n'y a pas d'espace disque. Code d'erreur :	¡Error! Se ha producido un error al guardar la partida, no hay espacio suficiente en el disco. Código del error:	Błąd! Nie udało się zapisać gry, brak miejsca na dysku. Kod błędu:	Hata! Oyun kaydedilemedi, disk alanı yok. Hata kodu:	Erro! Falha ao salvar o jogo, sem espaço em disco. Código de erro:	오류! 디스크 공간이 부족하여 게임을 저장하지 못했습니다. 오류 코드:	エラー！ゲームの保存に失敗しました。エラーコード：	错误！保存游戏失败，磁盘空间不足。错误代码：						
ui.dialog.failed_save_game_generic	Error! Failed to save the game. Error code:	Ошибка! Не удалось сохранить игру. Код ошибки:	Fehler! Das Spiel konnte nicht gespeichert werden. Fehlercode:	Erreur ! Échec de la sauvegarde du jeu. Code d'erreur :	¡Error! Se ha producido un error al guardar la partida. Código de error:	Błąd! Nie udało się zapisać gry. Kod błędu:	Hata! Oyun kaydedilemedi. Hata kodu: Hata!	Erro! Falha ao salvar o jogo. Código de erro:	오류! 게임을 저장하지 못했습니다. 오류 코드:	エラー！ゲームの保存に失敗しました。エラーコード：	错误！保存游戏失败。错误代码：						
ui.dialog.flauros_baron_msg	I bring not pain, but the form it takes. Let your name be etched upon the boughs of my horns.	Я несу с собой не боль — я несу ее форму. Позволь мне нанести твое имя на ветви моих рогов.	Ich bringe keinen Schmerz – ich bringe seine Form. Lass mich deinen Namen in die Verästelungen meiner Hörner schnitzen.	Je n'apporte pas la douleur - j'apporte sa forme. Laisse-moi graver ton nom sur les branches de mes bois.	No traigo dolor, sino la forma que adopta. Deja que tu nombre quede grabado en las ramas de mis astas.	Nie przynoszę bólu - przynoszę jego kształt. Pozwól mi wyryć twoje imię na gałęziach moich poroży.	Acıyı getirmiyorum - şeklini getiriyorum. Adını boynuzlarımın dallarına kazımama izin ver.	Não trago dor - trago sua forma. Deixe-me esculpir seu nome nos galhos dos meus chifres.	나는 고통이 아니라, 고통이 취하는 형상을 가져온다. 네 이름을 내 뿔의 가지 위에 새겨라.	我がもたらすのは苦痛ではなく、苦痛の姿だ。我が角の枝にお前の名を刻ませよう。	我带来的不是痛苦，而是痛苦的形态。让你的名字铭刻在我的犄角之上。						
ui.dialog.game_over_approved	Boss, if you leave the mission, you won't be cloned. Are you sure about your decision?	Босс, если покинете миссию, вас не смогут клонировать. Уверены в своем решении?	Boss, wenn du die Mission verlässt, wirst du nicht geklont. Bist du dir sicher mit deiner Entscheidung?	Patron, si vous quittez la mission, vous ne serez pas cloné. Êtes-vous sûr de votre décision?	Jefe, si abandonas la misión, no te clonaremos. ¿Estás seguro de tu decisión?	Szefie, jeśli opuścisz misję, nie będziesz sklonowany. Czy jesteś pewien swojej decyzji?	görevi bırakırsanız klonlanmayacaksınız. Kararınızdan emin misiniz?	Chefe, se você deixar a missão, não será clonado. Tem certeza da sua decisão?	보스, 임무를 포기하면 복제되지 않습니다. 정말 이 결정을 내리시겠습니까?	ボス、ミッションを離れるとクローンされません。本当にその決断でよろしいですか？	老板，如果你退出任务，将无法被克隆。确定要这么做吗？						
ui.dialog.jane_after_urparp_death	We lost contact with you for precisely... 48.1 minutes. Whatever you've seen or encountered, we need to evacuate you and the <color=#FFFEC1>Spear</color>. Take it and get back to the elevator.	Мы потеряли связь с тобой ровно на… 48,1 минуты. Что бы ты не видел, с чем бы ты не столкнулся, нам нужно эвакуировать тебя вместе с <color=#FFFEC1>Копьем</color>. Забирай его и возвращайся к лифту.	Wir haben genau für … 48,1 Minuten den Kontakt zu dir verloren. Was auch immer du gesehen oder erlebt hast, wir müssen dich und den <color=#FFFEC1>Speer</color> evakuieren. Nimm ihn und kehre zum Aufzug zurück.	Nous avons perdu le contact avec vous précisément pour... 48,1 minutes. Quoi que vous ayez vu ou rencontré, nous devons vous évacuer, vous et la lance. Prenez-la et retournez à l'ascenseur.	Hemos perdido el contacto contigo durante exactamente 48,1 minutos. Sea lo que sea que hayas visto o encontrado, tenemos que evacuarte con la <color=#FFFEC1>lanza</color>. Cógela y regresa al ascensor.	Utracono z tobą kontakt dokładnie na... 48,1 minuty. Cokolwiek widziałeś lub z czymkolwiek się spotkałeś, musimy cię ewakuować wraz z włócznią. Weź ją i wróć do windy.	Seninle tam olarak... 48,1 dakika boyunca iletişimi kaybettik. Ne gördüysen ya da karşılaştıysan, seni ve mızrağı tahliye etmemiz gerekiyor. Onu al ve asansöre geri dön.	Perdemos contato com você precisamente por... 48,1 minutos. Seja lá o que você viu ou encontrou, precisamos evacuar você e a lança. Pegue-a e volte para o elevador.	정확히… 48.1분 동안 연락이 끊겼습니다. 무엇을 보고 무엇과 마주쳤든, 보스와 <color=#FFFEC1>창</color>을 즉시 철수시켜야 합니다. 창을 챙겨 엘리베이터로 돌아오십시오.	あなたとの連絡が正確に... 48.1分間途切れました。あなたが何を見たり遭遇したりしたかにかかわらず、我々はあなたとその槍を避難させる必要があります。それを取り、エレベーターに戻ってください。	我们与你失去联系正好……48.1分钟。无论你看到或遇到了什么，我们都需要撤离你和<color=#FFFEC1>长矛</color>。						
ui.dialog.jane_boss_killed	...Goodbye, Boss...	...Прощайте, Босс...	… Auf Wiedersehen, Boss …	...Adieu, Patron...	Adiós, jefe...	...Żegnaj, Szefie...	...Elveda, Patron...	...Adeus, Chefe...	…안녕히, 보스…	...さようなら、ボス...	…再见，老板…						
ui.dialog.jane_capsule_called	An escape pod has been dispatched and should land somewhere nearby.	Эвакуационная капсула отправлена и должна приземлиться где-то поблизости.	Eine Rettungskapsel wurde abgeschickt und sollte irgendwo in der Nähe landen.	Une capsule de secours a été envoyée et devrait atterrir quelque part à proximité.	Se ha enviado una cápsula de escape y debería aterrizar en algún lugar cercano.	Kapsuła ewakuacyjna została wysłana i powinna wylądować gdzieś w pobliżu.	Bir kaçış kapsülü gönderildi ve yakınlarda bir yere inmesi gerekiyor.	Uma cápsula de escape foi despachada e deve pousar em algum lugar nas proximidades.	탈출 캡슐을 발사했습니다. 근처 어딘가에 착륙할 겁니다.	脱出ポッドが発射されました。近くに着陸するはずです。	逃生舱已派出，预计在附近着陆。						
ui.dialog.jane_denied	Translating from corporate to human, <color=#FFFEC1>Boss</color>. There's definitely something at Sinkhole Oasis beyond the scope of the geological station's work. <color=#FFFEC1>RealWare</color> will only let us in if they trust us enough. We'll have to do some work for them if we really need to get in there.	Перевожу с корпоративного на человеческий, <color=#FFFEC1>Босс</color>. На Карстовом Оазисе определенно есть что-то выходящее за рамки работы геологической станции. <color=#FFFEC1>РеалВейр</color> пустит нас туда, если будет достаточно доверять нам. Придется поработать на корпорацию, если нам действительно туда нужно.	Übersetze von Unternehmenssprache in Menschensprache, <color=#FFFEC1>Chef</color>. In Krater-Oase gibt es definitiv etwas, das über den Aufgabenbereich der geologischen Station hinausgeht. <color=#FFFEC1>RealWare</color> lässt uns nur rein, wenn sie uns genug vertrauen. Wir werden etwas Arbeit für sie erledigen müssen, wenn wir wirklich dort hinein müssen.	Traduction du langage d'entreprise en langage humain, Patron. Il y a définitivement quelque chose au-delà du domaine de travail de la station géologique à Sotch Oasis. RealWare ne nous laissera entrer que si ils nous font suffisamment confiance. Nous devrons faire un peu de travail pour eux si nous avons vraiment besoin de rentrer là-bas.	Traduciendo de corporativo a humano, <color=#FFFEC1>Jefe</color>. Sin duda, hay algo en Oasis Sumidero que va más allá del umbral de trabajo de la estación geológica. <color=#FFFEC1>RealWare</color> solo nos dejará entrar si confía lo suficiente en nosotros. Tendremos que hacer algún que otro trabajo para ellos si realmente queremos entrar allí.	Tłumaczę z języka korporacyjnego na ludzki, Szefie. W Zapadniętej Oazie z pewnością dzieje się coś, co wykracza poza zakres pracy stacji geologicznej. RealWare pozwoli nam tam wejść tylko jeśli będą nam wystarczająco ufali. Będziemy musieli trochę popracować dla nich, jeśli naprawdę chcemy tam wejść.	Kurumsaldan insana çeviriyorum, Patron. Sinkhole Oasis'te kesinlikle jeolojik istasyonun iş kapsamının ötesinde bir şey var. RealWare bizim oraya girmemize sadece bize yeterince güvenirse izin verecek. Oraya gerçekten girmemiz gerekiyorsa, onlar için biraz çalışmamız gerekecek.	Traduzindo de corporativo para humano, Chefe. Definitivamente há algo além do escopo do trabalho da estação geológica no Oásis da Cratera. A RealWare só vai nos deixar entrar se confiarem o suficiente em nós. Teremos que fazer algum trabalho para eles se realmente precisarmos entrar lá.	기업어를 인간의 말로 번역해 드리죠, <color=#FFFEC1>보스</color>. 싱크홀 오아시스에는 지질 정거장의 업무 범위를 벗어나는 무언가가 분명히 있습니다. <color=#FFFEC1>리얼웨어</color>가 우리를 충분히 신뢰해야만 들여보내 줄 겁니다. 정말 그곳에 들어가야 한다면 그들을 위해 일을 좀 해 줘야겠군요.	企業用語から人間用語へ翻訳します、<color=#FFFEC1>ボス</color>。シンクホール・オアシスで、地質学的観測所の業務範囲を超える確かな何かがあります。<color=#FFFEC1>リアルウェア</color>は、十分に信頼していれば、私たちを中に入れてくれるでしょう。本当にそこへ入る必要があるなら、彼らのためにいくらかの仕事をしなければなりません。	帮你翻译成大白话，<color=#FFFEC1>老板</color>：天坑绿洲肯定有超出地质站工作范畴的东西。<color=#FFFEC1>真金</color>只有足够信任我们才会放行。如果真想进去，就得替他们办点事。						
ui.dialog.jane_phase_bomb_reminder	You can make a phase bomb. It can be used as an usual grenade, but Eipschwitz created this for something completely different.	Можно сделать фазовую бомбу. В бою сойдет за обычную гранату, но Эйпшвиц сделал ее совсем для другого.	Es ist möglich, eine Phasenbombe herzustellen. Sie kann als normale Granate verwendet werden, aber Eipschwitz hat das hier für etwas ganz anderes entwickelt.	Vous pouvez fabriquer une bombe de phase. Elle peut être utilisée comme une grenade ordinaire, mais Eipschwitz a créé cela pour quelque chose de complètement différent.	Puedes fabricar una bomba de fase. Funciona como una granada normal, pero Eipschwitz la creó para algo completamente diferente.	Możesz stworzyć bombę fazową. Może być użyta jak zwykła granata, ale Eipschwitz zrobił to dla zupełnie innych celów.	Faz bombası yapabilirsiniz. Normal bir el bombası gibi kullanılabilir, ancak Eipschwitz bunu tamamen farklı bir amaç için yaptı.	Você pode criar uma bomba de fase. Pode ser usada como uma granada comum, mas Eipschwitz fez isso para algo completamente diferente.	위상 폭탄을 제작할 수 있습니다. 일반 수류탄처럼 사용할 수도 있지만, 엡슈비츠 교수는 전혀 다른 목적을 위해 이것을 만들었습니다.	相位爆弾を作成することができます。通常の手榴弾として使用される可能性がありますが、アイシュウィッツはこれをまったく違ったものにするために行いました。	你可以制造相位炸弹。它虽能当作普通手榴弹使用，但艾匹施维兹创造它的初衷却截然不同。						
ui.dialog.jane_sinkhole_condition	Find <color=#FFFEC1>Itzpapalotl</color>, the Spear of Tezctlan	Найти <color=#FFFEC1>Копье Тецктлана</color>	Finde den Speer von Tezctlan	Trouvez la Lance de Tezctlan	Encuentra al <color=#FFFEC1>Itzpapalotl</color>, La Lanza de Tezctlan	Znajdź Włócznię Tezctlan	Tezctlan'ın Mızrağını Bul	Encontre a Lança de Tezctlan	테즈틀란의 창, 이츠파팔로틀을 찾으십시오	テクトランの槍を見つける	找到泰兹卡特兰的长矛						
